Date,Brand Alias,Ad group alias,ASIN/SKU Alias,Marketplace,Impressions,Clicks,Spend,Sales,Orders,Units,Advertised Units sold,Other SKU units sold,Advertised SKU Sales,Other SKU sales
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,23533,88,$70.60,$304.97,3,3,0,3,$0.00,$304.97
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,37920,105,$85.14,$638.94,5,6,2,4,$233.98,$404.96
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,1014,3,$2.65,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,38371,81,$64.79,$467.96,4,4,2,2,$379.98,$87.98
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN501,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,8924,27,$16.92,$319.98,2,2,0,2,$0.00,$319.98
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,11616,28,$17.23,$329.95,5,5,1,4,$76.99,$252.96
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,17149,30,$19.08,$100.99,1,1,0,1,$0.00,$100.99
"Oct 18, 2021",Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,9067,6,$4.12,$247.58,2,2,0,2,$0.00,$247.58
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,63,2,$0.86,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,178712,793,$640.80,"$3,333.07",53,53,30,23,"$1,894.70","$1,438.37"
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,5926,74,$17.95,$592.85,13,15,12,3,$460.88,$131.97
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,580,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,1380,3,$1.04,$47.99,1,1,1,0,$47.99,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,738,2,$0.53,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,3907,48,$15.54,$159.97,3,3,1,2,$54.99,$104.98
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,6478,28,$4.13,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,25638,76,$12.67,$203.87,2,2,0,2,$0.00,$203.87
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,22,4,$1.50,$43.98,2,2,2,0,$43.98,$0.00
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,748,9,$1.97,$127.97,3,3,1,2,$34.99,$92.98
"Oct 19, 2021",Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,85,4,$1.27,$180.96,4,4,3,1,$110.97,$69.99
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,13674,111,$93.40,"$1,307.04",17,20,7,13,$657.93,$649.11
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,13848,37,$26.38,$404.95,5,5,4,1,$339.96,$64.99
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,18608,38,$32.68,"$1,010.45",6,6,2,4,$481.98,$528.47
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN463,Walmart,5649,6,$4.50,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,2434,9,$5.27,$57.98,1,2,2,0,$57.98,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN476,Walmart,59410,185,$159.05,$589.95,3,5,5,0,$589.95,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,40953,99,$74.88,$865.93,7,7,1,6,$109.99,$755.94
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,33932,107,$75.05,$275.94,1,2,0,2,$0.00,$275.94
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,1409,5,$3.70,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,73189,134,$93.97,$411.98,2,2,0,2,$0.00,$411.98
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN502,Walmart,3008,9,$6.98,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,24558,84,$50.59,$814.53,9,9,6,3,$533.94,$280.59
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,16441,33,$23.69,$408.95,4,5,4,1,$323.96,$84.99
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,15490,18,$13.34,$52.99,1,1,1,0,$52.99,$0.00
"Oct 19, 2021",Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,188,1,$0.86,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,70,2,$0.61,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,144318,533,$368.53,"$2,026.78",28,30,13,17,"$1,004.87","$1,021.91"
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,9455,70,$15.79,$49.99,1,1,0,1,$0.00,$49.99
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,189,4,$0.94,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,1360,4,$1.21,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,527,3,$0.62,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,2666,19,$7.48,$150.95,5,5,3,2,$83.97,$66.98
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,4986,50,$17.15,$164.97,3,3,1,2,$54.99,$109.98
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,6221,24,$3.07,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,16650,29,$8.02,$54.99,1,1,1,0,$54.99,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,27,4,$2.95,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,499,7,$2.26,$34.99,1,1,1,0,$34.99,$0.00
"Oct 20, 2021",Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,45,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,12637,50,$33.94,$178.98,2,2,1,1,$84.99,$93.99
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN464,Walmart,9348,20,$14.35,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,17404,49,$29.87,$795.95,5,5,2,3,$315.98,$479.97
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,41848,277,$190.09,$730.28,22,24,14,10,$377.86,$352.42
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN477,Walmart,4924,13,$7.61,$134.99,1,1,0,1,$0.00,$134.99
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,292443,433,$369.71,$863.82,8,8,5,3,$549.95,$313.87
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,51649,144,$115.40,"$1,521.13",12,16,1,15,$109.99,"$1,411.14"
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,11460,38,$31.52,$233.98,1,2,2,0,$233.98,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,1238,7,$3.74,$71.98,1,1,1,0,$71.98,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,73016,107,$76.48,$300.96,4,4,1,3,$189.99,$110.97
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN502,Walmart,5447,18,$13.99,$985.92,6,8,0,8,$0.00,$985.92
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,5341,15,$12.46,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,27537,86,$46.26,$575.79,7,7,4,3,$355.96,$219.83
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,10820,23,$17.06,$161.98,2,2,2,0,$161.98,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,24334,33,$19.33,$0.00,0,0,0,0,$0.00,$0.00
"Oct 20, 2021",Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,7470,11,$9.89,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,59,2,$0.62,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,9512,68,$14.32,$139.97,3,3,0,3,$0.00,$139.97
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 13,ASIN395,Walmart,356,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,145,2,$0.62,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,352,1,$0.23,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,2637,17,$10.32,$115.96,4,4,3,1,$83.97,$31.99
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 2,ASIN380,Walmart,5299,121,$53.33,$761.92,18,18,11,7,$412.89,$349.03
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,2341,44,$16.90,$204.96,4,4,3,1,$164.97,$39.99
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 2,ASIN392,Walmart,1330,22,$7.57,$211.96,4,4,2,2,$99.98,$111.98
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,11048,48,$6.38,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,21,3,$1.82,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,424,4,$0.61,$37.99,1,1,1,0,$37.99,$0.00
"Oct 21, 2021",Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,97,5,$1.60,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,18499,62,$46.48,$263.97,3,3,2,1,$169.98,$93.99
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,45549,85,$69.94,$290.96,4,4,1,3,$96.99,$193.97
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN464,Walmart,6579,18,$10.37,$204.64,2,2,0,2,$0.00,$204.64
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,15585,30,$20.63,$75.99,1,1,0,1,$0.00,$75.99
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,33452,190,$124.98,$623.07,17,23,18,5,$487.82,$135.25
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN477,Walmart,4,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN481,Walmart,24850,106,$102.18,$861.80,9,10,0,10,$0.00,$861.80
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,38554,122,$98.44,$867.93,6,7,1,6,$109.99,$757.94
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,16558,75,$48.59,$338.98,2,2,1,1,$116.99,$221.99
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,4400,22,$16.79,$159.98,1,2,0,2,$0.00,$159.98
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,82075,109,$72.88,$366.95,3,3,1,2,$189.99,$176.96
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN502,Walmart,15646,84,$76.94,$330.96,2,2,1,1,$192.99,$137.97
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,43107,119,$89.50,$465.93,2,3,0,3,$0.00,$465.93
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,17902,93,$41.89,"$1,273.80",15,15,11,4,$978.89,$294.91
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,728,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,40715,30,$24.04,$211.96,4,4,4,0,$211.96,$0.00
"Oct 21, 2021",Brand 2,Brand 2 Ad Group 5,ASIN619,Walmart,7184,13,$7.69,$0.00,0,0,0,0,$0.00,$0.00
"Oct 22, 2021",Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,74,4,$1.32,$0.00,0,0,0,0,$0.00,$0.00
"Oct 22, 2021",Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00
"Oct 22, 2021",Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,14623,67,$14.95,$152.97,3,3,1,2,$52.99,$99.98
"Oct 22, 2021",Brand 1,Brand 1 Ad Group 13,ASIN395,Walmart,572,4,$1.04,$26.99,1,1,1,0,$26.99,$0.00
